Vegetation plot name,Date,Person measuring,Palm x coord,Palm y coord,Palm number,Frond length (cm),Time,% herbivory whole palm,% herbivory whole cut frond,Total number of caterpillars,0,1,2,3,Notes,Typed up by?,Date typed up?,Checked by?,Date checked?
D-W-250-BC,13/01/2020,"Agung, Jaka, Syamsul",,,348,107,08:59,30,10,,13,7,0,0,3 Leaf = damage by Oryctes  => Include in heathty leaf = cat 0,Rini,14/03/2020,,
D-W-250-BC,13/01/2020,"Agung, Jaka, Syamsul",,,351,152,09:07,30,25,,11,2,0,7,,Rini,14/03/2020,,
D-W-250-BC,13/01/2020,"Agung, Jaka, Syamsul",,,346 ?,162,09:15,25,15,,12,8,0,0,,Rini,14/03/2020,,
D-W-250-OPE,13/01/2020,"Agung, Jaka, Syamsul",,,355 ?,243,08:26,30,10,,7,6,5,2,3 Dead cross check on the map,Rini,14/03/2020,,
D-W-250-OPE,13/01/2020,"Agung, Jaka, Syamsul",X,,358 ?,189,08:37,35,10,,12,7,1,0,,Rini,14/03/2020,,
D-W-250-OPE,13/01/2020,"Agung, Jaka, Syamsul",,Y,353 ?,209,08:49,30,10,,12,8,0,0,,Rini,14/03/2020,,
D-W-250-OPC,13/01/2020,"Agung, Jaka, Syamsul",X,,367,219,09:27,40,20,,7,11,0,2,,Rini,14/03/2020,,
D-W-250-OPC,13/01/2020,"Agung, Jaka, Syamsul",,Y,366,216,09:34,60,25,,8,12,0,0,,Rini,14/03/2020,,
D-W-250-OPC,13/01/2020,"Agung, Jaka, Syamsul",,,363,181,09:44,30,20,,4,13,2,1,,Rini,14/03/2020,,
D-E-150-BC,09/01/2020,"Agung, Jaka, Dani",X,,138,138,08:53,60,30,,8,11,1,0,,Rini,14/03/2020,,
D-E-150-BC,09/01/2020,"Agung, Jaka, Dani",,Y,144,175,09:02,50,15,,6,14,0,0,,Rini,14/03/2020,,
D-E-150-BC,09/01/2020,"Agung, Jaka, Dani",,,141,147,09:09,65,20,,3,15,2,0,,Rini,14/03/2020,,
D-E-150-OPE,09/01/2020,"Agung, Jaka, Dani",,,150,208,08:23,15,5,,18,2,0,0,,Rini,14/03/2020,,
D-E-150-OPE,09/01/2020,"Agung, Jaka, Dani",X,,148,187,08:30,30,10,,7,13,0,0,,Rini,14/03/2020,,
D-E-150-OPE,09/01/2020,"Agung, Jaka, Dani",,Y,154,230,08:38,30,20,,8,12,0,0,,Rini,14/03/2020,,
D-E-150-OPC,07/01/2020,"Agung, Syamsul, Dani",,,160,200,09:53,30,15,,16,4,0,0,,Rini,14/03/2020,,
D-E-150-OPC,07/01/2020,"Agung, Syamsul, Dani",X,,157,190,10:00,35,15,,11,9,0,0,,Rini,14/03/2020,,
D-E-150-OPC,07/01/2020,"Agung, Syamsul, Dani",,Y,163,180,10:07,20,10,,15,5,0,0,,Rini,14/03/2020,,
D-E-350-BC,07/01/2020,"Agung, Syamsul, Dani",,,166,231,11:01,55,20,,7,13,0,0,,Rini,17/03/2020,,
D-E-350-BC,07/01/2020,"Agung, Syamsul, Dani",,Y,164,82,11:07,50,30,,10,5,5,0,,Rini,17/03/2020,,
D-E-350-BC,07/01/2020,"Agung, Syamsul, Dani",X,,170,119,11:14,30,10,,10,10,0,0,,Rini,17/03/2020,,
D-E-350-OPE,07/01/2020,"Agung, Syamsul, Dani",,,174,144,10:37,20,5,,14,6,0,0,,Rini,17/03/2020,,
D-E-350-OPE,07/01/2020,"Agung, Syamsul, Dani",X,,172,195,10:46,25,15,,8,11,1,0,,Rini,17/03/2020,,
D-E-350-OPE,07/01/2020,"Agung, Syamsul, Dani",,Y,175,184,10:51,30,10,,14,3,3,0,,Rini,17/03/2020,,
D-E-350-OPC,07/01/2020,"Agung, Syamsul, Dani",X,,181,157,10:18,35,10,,13,7,0,0,,Rini,17/03/2020,,
D-E-350-OPC,07/01/2020,"Agung, Syamsul, Dani",,Y,187,164,10:23,20,10,,12,8,0,0,,Rini,17/03/2020,,
D-E-350-OPC,07/01/2020,"Agung, Syamsul, Dani",,,186,195,10:28,35,10,,11,9,0,0,,Rini,17/03/2020,,
C-W-250-OPE,09/01/2020,"Agung, Jaka, Dani",,,306,222,10:07,10,5,,18,2,0,0,,Rini,17/03/2020,,
C-W-250-OPE,09/01/2020,"Agung, Jaka, Dani",,Y,305,237,10:12,10,15,,15,1,3,1,305 Frond damage by oryctes,Rini,17/03/2020,,
C-W-250-OPE,09/01/2020,"Agung, Jaka, Dani",X,,308,232,10:17,15,5,,9,9,2,0,,Rini,17/03/2020,,
C-W-250-OPC,09/01/2020,"Agung, Jaka, Dani",X,,318,208,09:38,5,0,,19,1,0,0,,Rini,17/03/2020,,
C-W-250-OPC,09/01/2020,"Agung, Jaka, Dani",,Y,316,278,09:48,5,0,,13,7,0,0,,Rini,17/03/2020,,
C-W-250-OPC,09/01/2020,"Agung, Jaka, Dani",,,314,241,09:55,5,0,,19,1,0,0,,Rini,17/03/2020,,
A-W-50-BC,15/01/2020,"Agung, Jaka, Syamsul",,,193,529,08:52,10,15,,7,8,0,5,"Some leaf on the top, dame by oryctes (193 & 190)",Rini,17/03/2020,,
A-W-50-BC,15/01/2020,"Agung, Jaka, Syamsul",,,190,490,09:05,10,10,,12,7,0,1,,Rini,17/03/2020,,
A-W-50-BC,15/01/2020,"Agung, Jaka, Syamsul",,,194,410,09:12,10,10,,15,2,0,3,,Rini,17/03/2020,,
A-W-50-OPE,09/01/2020,"Agung, Jaka, Dani",X,,202,268,11:21,25,10,,12,7,1,0,,Rini,17/03/2020,,
A-W-50-OPE,09/01/2020,"Agung, Jaka, Dani",,Y,205,165,11:27,5,5,,8,11,1,0,,Rini,17/03/2020,,
A-W-50-OPE,09/01/2020,"Agung, Jaka, Dani",,,199,226,11:33,10,5,,6,4,0,0,,Rini,17/03/2020,,
A-W-50-OPC,09/01/2020,"Agung, Jaka, Dani",,,208,159,11:38,30,60,,1,4,10,6,,Rini,17/03/2020,,
A-W-50-OPC,09/01/2020,"Agung, Jaka, Dani",,,212,204,11:48,50,10,,16,1,0,1,,Rini,17/03/2020,,
A-W-50-OPC,09/01/2020,"Agung, Jaka, Dani",,,214,178,11:53,30,5,,13,7,0,0,,Rini,17/03/2020,,
D-W-50-BC,17/01/2020,"Agung, Jaka, Suyandra ",,,325,206,09:39,25,5,,12,8,0,0,,Rini,17/03/2020,,
D-W-50-BC,17/01/2020,"Agung, Jaka, Suyandra ",,,322,177,09:46,20,20,,4,8,6,2,,Rini,17/03/2020,,
D-W-50-BC,17/01/2020,"Agung, Jaka, Suyandra ",,,320,193,09:52,20,20,,5,7,7,1,,Rini,17/03/2020,,
D-W-50-OPE,17/01/2020,"Agung, Jaka, Suyandra ",,,335,197,10:03,10,5,,14,4,2,0,,Rini,17/03/2020,,
D-W-50-OPE,17/01/2020,"Agung, Jaka, Suyandra ",,,330,226,10:11,10,5,,11,9,0,0,,Rini,17/03/2020,,
D-W-50-OPE,17/01/2020,"Agung, Jaka, Suyandra ",,,327,242,10:?,5,5,,11,7,2,0,,Rini,17/03/2020,,
D-W-50-OPC,17/01/2020,"Agung, Jaka, Suyandra ",,,338,198,10:30,10,5,,13,7,0,0,,Rini,17/03/2020,,
D-W-50-OPC,17/01/2020,"Agung, Jaka, Suyandra ",,,339,174,10:38,10,5,,14,3,1,2,,Rini,17/03/2020,,
D-W-50-OPC,17/01/2020,"Agung, Jaka, Suyandra ",,,340,175,10:?,10,5,,9,11,0,0,,Rini,17/03/2020,,
B-W-50-BC,16/01/2020,"Agung, Jaka, Syamsul",,,37,505,09:05,40,30,,13,2,2,3,37 = Red label = Some frond damage oryctes.  ,Rini,17/03/2020,,
B-W-50-BC,16/01/2020,"Agung, Jaka, Syamsul",,,244,490,09:17,40,30,,5,5,2,8,244 +.,Rini,17/03/2020,,
B-W-50-BC,16/01/2020,"Agung, Jaka, Syamsul",,,243,570,09:29,40,20,,2,17,0,1,243 + .,Rini,17/03/2020,,
B-W-50-OPE,16/01/2020,"Agung, Jaka, Syamsul",,,245,215,09:36,10,5,,14,5,0,1,,Rini,17/03/2020,,
B-W-50-OPE,16/01/2020,"Agung, Jaka, Syamsul",,,247,145,09:43,5,5,,15,5,0,0,,Rini,17/03/2020,,
B-W-50-OPE,16/01/2020,"Agung, Jaka, Syamsul",,,252,221,09:52,5,10,,12,5,0,3,,Rini,17/03/2020,,
B-W-50-OPC,16/01/2020,"Agung, Jaka, Syamsul",,,252 A,172,12:38,10,5,,10,9,0,1,,Rini,17/03/2020,,
